year,mean_global_co2_level,mean_global_co2_change
0,277.454,
1,277.137,-0.11432%
2,277.16,0.00830%
3,277.158,-0.00072%
4,277.157,-0.00036%
5,277.167,0.00361%
6,277.172,0.00180%
7,277.171,-0.00036%
8,277.175,0.00144%
9,277.176,0.00036%
10,277.179,0.00108%
11,277.194,0.00541%
12,277.198,0.00144%
13,277.201,0.00108%
14,277.201,0.00000%
15,277.211,0.00361%
16,277.217,0.00216%
17,277.221,0.00144%
18,277.226,0.00180%
19,277.227,0.00036%
20,277.232,0.00180%
21,277.234,0.00072%
22,277.237,0.00108%
23,277.245,0.00289%
24,277.249,0.00144%
25,277.256,0.00252%
26,277.26,0.00144%
27,277.277,0.00613%
28,277.28,0.00108%
29,277.282,0.00072%
30,277.284,0.00072%
31,277.285,0.00036%
32,277.293,0.00289%
33,277.291,-0.00072%
34,277.295,0.00144%
35,277.3,0.00180%
36,277.305,0.00180%
37,277.311,0.00216%
38,277.316,0.00180%
39,277.318,0.00072%
40,277.325,0.00252%
41,277.33,0.00180%
42,277.334,0.00144%
43,277.337,0.00108%
44,277.341,0.00144%
45,277.343,0.00072%
46,277.348,0.00180%
47,277.351,0.00108%
48,277.353,0.00072%
49,277.36,0.00252%
50,277.362,0.00072%
51,277.363,0.00036%
52,277.368,0.00180%
53,277.371,0.00108%
54,277.376,0.00180%
55,277.379,0.00108%
56,277.385,0.00216%
57,277.387,0.00072%
58,277.389,0.00072%
59,277.395,0.00216%
60,277.397,0.00072%
61,277.402,0.00180%
62,277.406,0.00144%
63,277.408,0.00072%
64,277.417,0.00324%
65,277.423,0.00216%
66,277.428,0.00180%
67,277.43,0.00072%
68,277.433,0.00108%
69,277.437,0.00144%
70,277.436,-0.00036%
71,277.437,0.00036%
72,277.437,0.00000%
73,277.445,0.00288%
74,277.452,0.00252%
75,277.457,0.00180%
76,277.462,0.00180%
77,277.461,-0.00036%
78,277.463,0.00072%
79,277.472,0.00324%
80,277.477,0.00180%
81,277.481,0.00144%
82,277.487,0.00216%
83,277.489,0.00072%
84,277.497,0.00288%
85,277.505,0.00288%
86,277.509,0.00144%
87,277.516,0.00252%
88,277.52,0.00144%
